Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
27346,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/210097,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,31-Oct-25,aggarwal bko,Payment Success,30000
27347,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/210097,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,31-Oct-25,aggarwal bko,Payment Success,45000
27348,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/210097,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,31-Oct-25,aggarwal bko,Payment Success,13200
27349,Maharashtra,Construction of community centers and community halls,WS/MP18113/2026-2027/201976,Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA),BHUMARE SANDIPANRAO ASARAM,AURANGABAD_MH,02-Jul-26,satyam balasaheb udage,Payment Success,1497230
27350,Tamil Nadu,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP017/2025-2026/170398,"Ranipet(District Collector, Ranipet_2)",S. Jagathrakshakan,ARAKKONAM,09-Oct-25,NAGARAJAVARMA R,Payment Success,499000
27351,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP859/2025-2026/208293,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),Kalyan Banerjee,SREERAMPUR,12-Sep-25,KEBAL ENTERPRISE,Payment Success,281579
27352,Haryana,Installation of multi-gym equipment,WS/MP18067/2025-2026/134323,SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),SATPAL BRAHAMCHARI,SONEPAT,20-Jan-26,THE DHANKAR COOP L AND C SOCIETY LTD,Payment Success,44100
27353,Haryana,Installation of multi-gym equipment,WS/MP18067/2025-2026/134323,SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),SATPAL BRAHAMCHARI,SONEPAT,10-Sep-25,THE DHANKAR COOP L AND C SOCIETY LTD,Payment Success,245000
27354,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP859/2025-2026/208287,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),Kalyan Banerjee,SREERAMPUR,12-Sep-25,DEB KUMAR KHAN,Payment Success,328622
27355,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP859/2025-2026/208292,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),Kalyan Banerjee,SREERAMPUR,11-Nov-25,HOICHOI ENTERPRISE,Payment Success,254349
27356,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18324/2024-2025/155149,AMRELI(DISTRICT COLLECTOR AMRELI_IDA),BHARATBHAI MANUBHAI SUTARIYA,AMRELI,11-Sep-25,Moti Kunkavav Gram Panchayat,Payment Success,300000
27357,West Bengal,Street lights,WS/MP423/2025-2026/138823,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,11-Sep-25,M ENTERPRISE,Payment Success,397407
27358,Uttar Pradesh,Lighting of public spaces,WS/MP18241/2025-2026/210661,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),RAKESH RATHOR,SITAPUR,10-Oct-25,MS Jai Singh Verma,Payment Success,5005890
27359,Uttar Pradesh,Lighting of public spaces,WS/MP18241/2025-2026/210661,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),RAKESH RATHOR,SITAPUR,11-Sep-25,MS Jai Singh Verma,Payment Success,5004990
27360,Mizoram,Construction of buildings for sports facilities,WS/MP18138/2025-2026/217281,MAMIT(DEPUTY COMMISSIONER MAMIT),RICHARD VANLALHMANGAIHA,MIZORAM (ST),16-Sep-25,VC Kanghmun,Payment Success,693000
27361,Mizoram,Construction of buildings for sports facilities,WS/MP18138/2025-2026/217281,MAMIT(DEPUTY COMMISSIONER MAMIT),RICHARD VANLALHMANGAIHA,MIZORAM (ST),18-Dec-25,VC Kanghmun,Payment Success,297000
27362,Meghalaya,"Providing sports equipment, except consumable items",WS/MP18309/2025-2026/229147,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,TURA,02-Feb-26,MORNING FOOTBALL CLUB,Payment Success,50000
27363,Meghalaya,"Providing sports equipment, except consumable items",WS/MP18309/2025-2026/229147,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,TURA,22-Oct-25,MORNING FOOTBALL CLUB,Payment Success,450000
27364,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP360/2025-2026/206137,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),22-Sep-25,BADARKHA BERASIA,Payment Success,300000
27365,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP360/2025-2026/206137,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),24-Mar-26,BADARKHA BERASIA,Payment Success,200000
27366,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP360/2025-2026/206136,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),08-Jan-26,DHATRAWADA,Payment Success,200000
27367,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP360/2025-2026/206136,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),22-Sep-25,DHATRAWADA,Payment Success,300000
27368,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP360/2025-2026/206138,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),22-Sep-25,BOLASA,Payment Success,300000
27369,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP360/2025-2026/206138,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),23-Feb-26,BOLASA,Payment Success,200000
27370,Madhya Pradesh,Construction of common work sheds/ common covered sitting area,WS/MP360/2025-2026/195100,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),02-Apr-26,PIPLODADWARKADISH,Payment Success,400000
27371,Madhya Pradesh,Construction of common work sheds/ common covered sitting area,WS/MP360/2025-2026/195100,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),22-Sep-25,PIPLODADWARKADISH,Payment Success,600000
27372,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP360/2025-2026/195101,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),22-Sep-25,GUNAI,Payment Success,300000
27373,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP360/2025-2026/195101,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),01-Apr-26,GUNAI,Payment Success,200000
27374,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP490/2025-2026/241037,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),Shri Narendra Modi,VARANASI,14-Aug-26,Shashwat constrution,Payment Success,103604
27375,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP490/2024-2025/187263,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),Shri Narendra Modi,VARANASI,16-Sep-25,Shashwat constrution,Payment Success,310576
27376,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP490/2025-2026/240969,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),Shri Narendra Modi,VARANASI,18-Apr-26,Shashwat constrution,Payment Success,202134
27377,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP360/2025-2026/230940,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),22-Jun-26,GRAM PANCHAYAT KHANDODA,Payment Success,120000
27378,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP360/2025-2026/230940,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),06-Feb-26,GRAM PANCHAYAT KHANDODA,Payment Success,180000
27379,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18067/2025-2026/214183,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,17-Sep-25,The Baba Daulatgiri Co op L C Society Ltd Jind,Payment Success,368000
27380,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18067/2025-2026/214215,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,05-Dec-25,The Baba Daulatgiri Co op L C Society Ltd Jind,Payment Success,93264
