"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"8447","Normal/Others","WS/MP220/2024-2025/2998-Installing tube-wells and borewells","West Bengal","Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA)","Installation of Tubewells and Borewells at Dhundipara","Shri Derek O' Brien (2017-23) (NaN-NaN)","Elected MP","Images","09-Dec-2024","164394"
"8448","Normal/Others","WS/MP160/2024-2025/40966-Construction of rooms and halls in school and colleges","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Class room","Shri G.K. Vasan (2020-26) (NaN-NaN)","Elected MP","Images","19-Mar-2025","1999315"
"8449","Normal/Others","WS/MP025/2024-2025/136721-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Construction of CC Road from Sanaka Santha Rao House to Mathi Nagamalli House in Kosuruvaripalem (V) 
 Mopidevi Mandal, Krishna Dist","Shri Venkataramana Rao Mopidevi (2020-24) (NaN-NaN)","Elected MP","N/A","09-Dec-2024","490928"
"8450","Normal/Others","WS/MP150/2024-2025/157585-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shyampura uraf abhipura main CC, interlocking tiles road nirman karya CC road ka ghatvasan mata mandir ki aur gram panchayat dungarpur","Dr. Kirodi Lal Meena (2018-23) (NaN-NaN)","Elected MP","N/A","06-Jan-2025","1000000"
"8451","Normal/Others","WS/MP087/2024-2025/80726-Construction of buildings for community cultural activities","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Construction of Public Community Building in Bidarakatte Village , hebburu Hobali, Tumkuru Taluk Tumkur District","Dr. L. Hanumanthaiah (2018-24) (NaN-NaN)","Elected MP","Images","16-Apr-2025","499735"
"8452","Normal/Others","WS/MP150/2024-2025/157567-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","NH 11B sine board se gram panchayat suratpura ki bairava basti dhalya tak CC road proten wall nirman","Dr. Kirodi Lal Meena (2018-23) (NaN-NaN)","Elected MP","N/A","16-Jan-2026","800000"
"8453","Normal/Others","WS/MP150/2024-2025/157566-Development of public parks","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Panch Hathai Nirman karya gram suratpura","Dr. Kirodi Lal Meena (2018-23) (NaN-NaN)","Elected MP","N/A","16-Jan-2026","249916"
"8454","Normal/Others","WS/MP150/2024-2025/157568-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shamshan Ghat suratpura se mukhya gaav ki aur CC, Tiles road nirman karya","Dr. Kirodi Lal Meena (2018-23) (NaN-NaN)","Elected MP","N/A","16-Jan-2026","1000000"
"8455","Normal/Others","WS/MP149/2024-2025/127394-Providing drains and gutters for public drainage","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","construction of drain in CC/Interlock from athuna bass towards beech bass village narodada,laxmangarh (name of agency -Gram panchayat narodada)","Shri K.C. Venugopal (2020-24) (NaN-NaN)","Elected MP","N/A","09-Dec-2025","1500000"
"8456","Normal/Others","WS/MP230/2024-2025/116004-Construction of culverts and bridges","Madhya Pradesh","SINGRAULI(District Collector Singrauli_IDA)","JILA SINGRAULI KE JANPAD PANCHAYAT CHITRANGI ANTARGAT GRAM PANCHAYAT CHITAWAL KHURD KE GRAM TARAK HARIYA ANANTLAL BAIGA KE GHAR KE PASS PULIYA NIRMAD KARYA NIRMAD AGENCY GRAM PANCHAYAT CHIRAWAL KHURD","Shri Ajay Pratap Singh (2018-24) (NaN-NaN)","Elected MP","N/A","03-Jun-2025","999742"
"8457","Normal/Others","WS/MP142/2023-2024/68237-Construction of buildings for sports facilities","Punjab","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","construction of dressing rooms and toilets at Cricket Ground in Govt. Ranbir College, Sangrur","Shri Sanjeev Arora (2022-25) (NaN-NaN)","Elected MP","Images","23-May-2025","2434513"
"8458","Normal/Others","WS/MP090/2024-2025/66279-Purchase of IT systems, including hardware and software for educational purposes","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Supply of Computers to Bharat Education Society, 16th Main Road, 4th Block East, Jayanagar Bangalore","Shri Iranna Kadadi (2020-26) (NaN-NaN)","Elected MP","N/A","10-Dec-2024","499205"
"8459","Normal/Others","WS/MP079/2023-2024/70619-Purchase Books for Library","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","PURCHASE OF BOOKS FOR HIGHER SECONDARY SCHOOLS","Ms. Indu Bala Goswami (2020-26) (NaN-NaN)","Elected MP","Images","11-Dec-2024","2499550"
"8460","Normal/Others","WS/MP208/2024-2025/91296-Construction of rooms and halls in school and colleges","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Construction of Building of Ichhapur Panchagrami High School, Village- Ichhapur, Post Office - Mirpur, Police Station - Nandakumar, District - Purba Medinipur, Pin - 721648","Shri Bikash Ranjan Bhattacharyya (2020-26) (NaN-NaN)","Elected MP","Images","13-Aug-2026","2000000"
"8461","Normal/Others","WS/MP069/2024-2025/8113-Development of playground","Gujarat","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","RCC flooring near Chabutara at Bachubha's pati","Shri Shaktisinh Gohil (2020-26) (NaN-NaN)","Elected MP","Images","11-Dec-2024","360000"
"8462","Normal/Others","WS/MP069/2024-2025/132487-Fitting of Sitting RCC Benches in Public Places","Gujarat","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","Fitting of Sitting RCC Benches in Public Places around the bus stand area and Chamunda Mata's mausoleum at Limda (Hunubhana) village.","Shri Shaktisinh Gohil (2020-26) (NaN-NaN)","Elected MP","Images","11-Dec-2024","78000"
"8463","Normal/Others","WS/MP069/2024-2025/8107-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Gujarat","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","For the work of laying ground blocks in the kabristan (cremation ) area at Limda village","Shri Shaktisinh Gohil (2020-26) (NaN-NaN)","Elected MP","Images","11-Dec-2024","197058"
"8464","Normal/Others","WS/MP133/2024-2025/135635-Street lights","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of mini high mast light at Bharuamunda village Chahakpada under Bender GP,EA BDO Khaprakhol","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","10-Dec-2024","250000"
"8465","Normal/Others","WS/MP133/2024-2025/135637-Street lights","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of mini high mast light at Jamchauan village under Malpada GP, EA- BDO Khaprakhol","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","10-Dec-2024","250000"
"8466","Normal/Others","WS/MP133/2024-2025/135632-Street lights","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of Mini High Mast light near UGHS Karuajhar Village under Karuajhar GP, EA-BDO Khaprakhol","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","10-Dec-2024","250000"
"8467","Normal/Others","WS/MP133/2024-2025/135638-Street lights","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of Mini high mast light at Tankapani Village Ampada under Tankapani GP, EA- BDO Khaprakhol","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","10-Dec-2024","250000"
"8468","Normal/Others","WS/MP049/2024-2025/49593-Lighting of public spaces","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","Installation of 16 meter (150 w x 8) LED light near Shiv Mandir in Ward No. 1 in Devgaon under Chiraili Panchayat.","Shri Ram Nath Thakur (2020-26) (NaN-NaN)","Elected MP","Images","10-Dec-2024","854995"
"8469","Normal/Others","WS/MP048/2023-2024/21079-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Construction of hand pump at public place near Rukminiya Devi in Parsan Vigha Kharbhaiya Panchayat, Ward No. 13.","Shri Prem Chand Gupta (2020-26) (NaN-NaN)","Elected MP","Images","16-Jan-2025","78864"
"8470","Normal/Others","WS/MP133/2024-2025/135631-Street lights","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of mini high mast light at Khaprakhol near New High School Khaprakhol under Khaprakhol GP,EA- BDO Khaprakhol","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","10-Dec-2024","250000"
"8471","Normal/Others","WS/MP217/2024-2025/66473-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Construction of road from Swasthitola to Gonga rampur Dhorontola","Shri Mohammed Nadimul Haque (2018-24) (NaN-NaN)","Elected MP","Images","10-Dec-2024","4731967"
"8472","Normal/Others","WS/MP133/2024-2025/135634-Street lights","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of mini high mast light at Kharselpada of village Pipalbahal under Lathor GP ,EA BDO Khaprakhol","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","10-Dec-2024","250000"
"8473","Normal/Others","WS/MP172/2024-2025/123648-Setting up of farmers’ training and assistance centers","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Farmers training centre at. Amdapoor Village of Bodhan Mandal.","Shri Joginipally Santosh Kumar (2018-24) (NaN-NaN)","Elected MP","N/A","10-Dec-2024","998587"
"8474","Normal/Others","WS/MP133/2024-2025/135636-Street lights","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of mini high mast light at Amrut Sarovar Rajakata of Lathor village under Lathor GP ,EA BDO Khaprakhol","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","10-Dec-2024","250000"
"8475","Normal/Others","WS/MP133/2024-2025/135633-Street lights","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Installation of Mini High Mast light Dhandamunda Park of village / GP Dhandamunda GP ,EA- BDO Khaprakhol","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","10-Dec-2024","250000"
"8476","Normal/Others","WS/MP150/2024-2025/157570-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Panchyat samiti baswa ki gram panchayat gurha ashikpura main nihalpura samprak sadak se sonadi bairwa basti tak interlocking karya","Dr. Kirodi Lal Meena (2018-23) (NaN-NaN)","Elected MP","N/A","13-Jan-2026","498873"
"8477","Normal/Others","WS/MP157/2024-2025/133040-Providing drains and gutters for public drainage","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Construction of Storm Water Drain and Culvert in Ward No.5 Bhagavathi Nagar Cross Street-2 to 9 in Modakkurichi Town Panchayat (2024-25)","Shri Anthiyur P. Selvarasu (2020-26) (NaN-NaN)","Elected MP","Images","11-Dec-2024","1500000"
"8478","Normal/Others","WS/MP224/2024-2025/133761-Construction of buildings for community cultural activities","Chhattisgarh","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","Gram Kopra me sanskritik bhawan Nirman kary (Patel para me)","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","24-Apr-2026","998492"
"8479","Normal/Others","WS/MP142/2024-2025/131561-Construction of additional rooms and halls in the existing public and community building","Punjab","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","Const of rooms other developmental works in Maha Shakti kala Manch, ward No. 11","Shri Sanjeev Arora (2022-25) (NaN-NaN)","Elected MP","Images","11-Dec-2024","250000"
"8480","Normal/Others","WS/MP174/2023-2024/69917-Construction of boundary walls of existing public and community buildings","Sikkim","Mangan(DISTRICT COLLECTOR MANGAN_IDA)","Construction of Boundary Wall at faka under Lachung, North Sikkim","Shri Hishey Lachungpa (2018-24) (NaN-NaN)","Elected MP","Images","11-Dec-2024","399971"
"8481","Normal/Others","WS/MP150/2024-2025/157572-Improvement of electricity distribution infrastructure","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Panchayat samiti dausa ki gram panchayat kalakho ke gram kushala ka bas main balaji mandir ke pass ek single faze system hetu","Dr. Kirodi Lal Meena (2018-23) (NaN-NaN)","Elected MP","N/A","13-Jan-2026","321482"
"8482","Normal/Others","WS/MP150/2024-2025/157573-Installing hand pumps","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Gram Panchayat Chawandhera main rajputon ki talai sitapura road dhab par ek handpump hetu","Dr. Kirodi Lal Meena (2018-23) (NaN-NaN)","Elected MP","N/A","13-Jan-2026","129607"
"8483","Normal/Others","WS/MP065/2023-2024/41899-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Paver block work on the road leading to Harijanvas at Paniyadev village of Dhari taluka of Amreli district.","Shri Naranbhai J. Rathwa (2018-24) (NaN-NaN)","Elected MP","Images","28-Jul-2025","500000"
"8484","Normal/Others","WS/MP157/2024-2025/133041-Providing drains and gutters for public drainage","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Construction of Storm Water Drain and Culvert  in Ward No.5 Bhagavathi Nagar Main Road and Cross Street-1 in Modakkurichi Town Panchayat.","Shri Anthiyur P. Selvarasu (2020-26) (NaN-NaN)","Elected MP","Images","11-Dec-2024","1850000"
"8485","Normal/Others","WS/MP200/2023-2024/80962-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","CC road distance from Km no 43 of Shikohabad Bhogaon road to the house of Shri Maharaj Singh Shakya in village Nagla Bhatia in Bhogaon development block of Mainpuri district -200 meters.","Smt. Jaya Amitabh Bachchan (2018-24) (NaN-NaN)","Elected MP","N/A","24-Apr-2025","1624839"
"8486","Normal/Others","WS/MP200/2023-2024/98653-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Starting from Shri Vedram's house and passing through Shri Lalta Prasad's house till the gate of Smt. Gulab Devi Inter College. 200 Meter","Smt. Jaya Amitabh Bachchan (2018-24) (NaN-NaN)","Elected MP","N/A","20-May-2025","943338"
"8487","Normal/Others","WS/MP200/2023-2024/104711-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Distance of CC road and drainage from canal track to Kids Destination School in Block Ghiror of Mainpuri district - approximately 300 meters - Mr. Satish Yadav, Manager Kids Destination School, Mob.-6398578897","Smt. Jaya Amitabh Bachchan (2018-24) (NaN-NaN)","Elected MP","N/A","03-Mar-2025","1314117"
"8488","Normal/Others","WS/MP200/2023-2024/98635-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Starting from Dev Sthal, passing through the house of Shri Alwar Yadav till the house of Shri Rajbahadur Yadav. 250 Meter","Smt. Jaya Amitabh Bachchan (2018-24) (NaN-NaN)","Elected MP","N/A","04-Mar-2025","1767347"
"8489","Normal/Others","WS/MP200/2023-2024/98634-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Starting from the house of Shri Chandra Katheria, passing through the house of Shri Satyaprakash Katheria, till the house of Shri Ranveer Diwakar. 300 Meter","Smt. Jaya Amitabh Bachchan (2018-24) (NaN-NaN)","Elected MP","N/A","03-Mar-2025","2336669"
"8490","Normal/Others","WS/MP184/2023-2024/93493-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Pramod Singh's house to Shammo Devi temple in Gram Sabha-Bhadrasi. length 189 Meter","Shri G.V.L. Narasimha Rao (2018-24) (NaN-NaN)","Elected MP","Images","11-Dec-2024","491934"
"8491","Normal/Others","WS/MP122/2024-2025/146262-Construction of rooms and halls in school and colleges","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Construction of Primary School Classroom at Ambawade","Shri Sharad Pawar (2020-26) (NaN-NaN)","Elected MP","Images","11-Dec-2024","989531"
"8492","Normal/Others","WS/MP069/2024-2025/64572-Construction of boundary walls of existing public and community buildings","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","For construction of compound wall near Danta Saith Momin Samajwadi at Punjpur village of Danta taluka of Banaskantha district","Shri Shaktisinh Gohil (2020-26) (NaN-NaN)","Elected MP","Images","05-Aug-2025","500000"
"8493","Normal/Others","WS/MP029/2023-2024/93346-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Construction Of C.C road (Bit-I) at Peddapalem G.P Of Vidavaluru Mandal,SPS Nellore District","Shri Ryaga Krishnaiah (2022-24) (NaN-NaN)","Elected MP","Images","11-Dec-2024","499833"
"8494","Normal/Others","WS/MP029/2023-2024/93347-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Construction Of C.C road (Bit-II) at Peddapalem G.P Of Vidavaluru Mandal,SPS Nellore District","Shri Ryaga Krishnaiah (2022-24) (NaN-NaN)","Elected MP","Images","11-Dec-2024","499600"
"8495","Normal/Others","WS/MP030/2023-2024/126833-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Construction of CC Road at Gowtham Nagar Vill & GP of Kodavalur (M), SPSR Nellore District.","Shri V. Vijayasai Reddy (2022-25) (NaN-NaN)","Elected MP","Images","11-Dec-2024","499549"
"8496","Normal/Others","WS/MP109/2024-2025/148279-Construction of toilet blocks","Maharashtra","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","Under MPLADS Fund's 2023-24 :  Construction of toilet block in Bauddha Vihar Premises, Ward No. 41 Rahemaniya Colony","Dr. Bhagwat Karad (2020-26) (NaN-NaN)","Elected MP","N/A","11-Dec-2024","994984"
"8497","Normal/Others","WS/MP109/2024-2025/148269-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","Under MPLADS Fund's 2022-23 : Construction of cement road, From Ashoda Kirana to Shri Kolte's house Ward No. 94 Gajanan Nagar","Dr. Bhagwat Karad (2020-26) (NaN-NaN)","Elected MP","N/A","18-Dec-2024","495246"
"8498","Normal/Others","WS/MP133/2023-2024/20899-Construction of public libraries and reading rooms","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Const. of Library Hall at PS College, Turekela","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","11-Dec-2024","1000000"
"8499","Normal/Others","WS/MP022/2023-2024/92516-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Construction of Internal CC Road from Padeti Vijaykumar  House to M. Penchalaiah’s  House in  Pallepadu Viilage of Allur Nagara Panchayat of Allur Mandal","Shri Prabhakar Reddy Vemireddy (2018-24) (NaN-NaN)","Elected MP","N/A","16-Dec-2024","236814"
"8500","Normal/Others","WS/MP069/2024-2025/38867-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","For the work of laying paver blocks on the road leading to the mosque from the main road of Fiza Residency at Dehgam village of Jambusar taluka","Shri Shaktisinh Gohil (2020-26) (NaN-NaN)","Elected MP","N/A","12-Dec-2024","199800"
"8501","Normal/Others","WS/MP136/2023-2024/37652-Construction of community centers and community halls","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Const. of Dakhina Soundhika Mahasangha Community Hall in Jorpada","Shri Sujeet Kumar (2020-24) (NaN-NaN)","Elected MP","N/A","07-Nov-2025","500000"
"8502","Normal/Others","WS/MP151/2024-2025/29466-Construction of rooms and halls in school and colleges","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of c c bLOKS in Govt.Hr.Sec.School Dhundhwalon Ki Dhani","Shri Rajendra Gehlot (2020-26) (NaN-NaN)","Elected MP","Images","25-Jun-2025","749755"
"8503","Normal/Others","WS/MP093/2024-2025/133546-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","CONSTRUCTION OF CC ROAD BELEKALLHALLI VILLAGE GIRISH HOME TO BASAVASHETTY HOME","Shri Narayana Koragappa (2020-26) (NaN-NaN)","Elected MP","Images","18-Mar-2025","497460"
"8504","Normal/Others","WS/MP093/2024-2025/133545-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","CONSTRUCTION OF CC ROAD BILEKALLAHALLI VILLAGE ERAPPA HOME TO RAGHU HOME","Shri Narayana Koragappa (2020-26) (NaN-NaN)","Elected MP","Images","18-Apr-2026","497820"
"8505","Normal/Others","WS/MP109/2024-2025/141579-Construction of community centers and community halls","Maharashtra","BEED(DISTRICT COLLECTOR BEED_IDA)","Under MPLAD's Funds 2023-24 : Construction of community hall at Parchundi Tq Parli","Dr. Bhagwat Karad (2020-26) (NaN-NaN)","Elected MP","Images","12-Dec-2024","997021"
"8506","Normal/Others","WS/MP220/2024-2025/4733-Installing tube-wells and borewells","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of Tubewells and Borewells at Arya Padmapur","Shri Derek O' Brien (2017-23) (NaN-NaN)","Elected MP","Images","14-Aug-2026","186468"
"8507","Normal/Others","WS/MP080/2023-2024/110046-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","UNA(DEPUTY COMMISSIOENR UNA_IDA)","Construction of Path from Kishori’s house  to Joginder’s house along with Inter Lock Tiles. Ward no. 3	G.P.- Chalet Dev. Block- Gagret","Shri Jagat Prakash Nadda (2018-24) (NaN-NaN)","Elected MP","Images","23-Jan-2026","600000"
"8508","Normal/Others","WS/MP089/2024-2025/91169-Construction of community centers and community halls","Karnataka","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Samudaya Bhavan  Balance work at  Hassan Taluk, Kattaya Hobli, Chikkabaganahalli  Village","Shri H.D. Devegowda (2020-26) (NaN-NaN)","Elected MP","Images","17-Nov-2025","299564"
"8509","Normal/Others","WS/MP080/2023-2024/110043-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","UNA(DEPUTY COMMISSIOENR UNA_IDA)","Construction of Path Link Road with interlock tiles from Pukar to Balbir etc Houses. (SC Basti)	G.P.- Chalet Dev. Block- Gagret","Shri Jagat Prakash Nadda (2018-24) (NaN-NaN)","Elected MP","Images","13-Aug-2025","400000"
"8510","Normal/Others","WS/MP080/2023-2024/110047-Construction of community centers and community halls","Himachal Pradesh","UNA(DEPUTY COMMISSIOENR UNA_IDA)","Construction of Community Centre Simbli wala Kuah  Ward No. 7	G.P.- Chalet Dev. Block- Gagret","Shri Jagat Prakash Nadda (2018-24) (NaN-NaN)","Elected MP","Images","10-Nov-2025","500000"
"8511","Normal/Others","WS/MP080/2023-2024/110048-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","UNA(DEPUTY COMMISSIOENR UNA_IDA)","Construction of Path from Main Road to Scholar Staire School along with Inter Lock Tiles.	G.P.- Chalet Dev. Block- Gagret","Shri Jagat Prakash Nadda (2018-24) (NaN-NaN)","Elected MP","Images","10-Nov-2025","400000"
"8512","Normal/Others","WS/MP167/2024-2025/102326-Providing supply pipelines for drinking water","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Internal pipeline replacement at Rama Lingalaguda Village from Primary High School to Mission Bhageeratha Tank and GP Limits at Ramalingalaguda Village & GP, Thipparthy Mandal, Nalgonda District","Dr. K. Keshava Rao (2020-24) (NaN-NaN)","Elected MP","Images","12-Dec-2024","498293"
"8513","Normal/Others","WS/MP065/2024-2025/61438-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","CHHOTAUDEPUR(DISTRICT COLLECTOR CHHOTA UDEPUR_IDA)","CHHOTAUDEPUR TALUKA NA DHANDHODA GAME MUKHYA RASTATHI SHANKARBHAI FATUBHAI RATHVA NA GHAR SUDHI C.C.ROAD NU KAM.","Shri Naranbhai J. Rathwa (2018-24) (NaN-NaN)","Elected MP","Images","12-Dec-2024","400000"
"8514","Normal/Others","WS/MP220/2024-2025/4736-Installing tube-wells and borewells","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of Tubewells and Borewells at Dakshin Bishnupur","Shri Derek O' Brien (2017-23) (NaN-NaN)","Elected MP","N/A","18-Mar-2025","200000"
"8515","Normal/Others","WS/MP100/2024-2025/100376-Lighting of public spaces","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Installation of Mini Mast Light at 12th Mile Junction","Shri Jose K. Mani (2021-24) (NaN-NaN)","Elected MP","Images","13-Dec-2024","166645"
"8516","Normal/Others","WS/MP076/2023-2024/39402-Purchase of vans and buses for educational institutions","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","One 52 seater bus for transportation of Patient and Students of Maharaja Agrasen Medical college Agroha dist.Hisar.","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (NaN-NaN)","Elected MP","N/A","13-Nov-2025","3315379"
"8517","Normal/Others","WS/MP109/2024-2025/158124-Construction of community centers and community halls","Maharashtra","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","Under MPLADS Funds 2023-24 : Construction of community hall at Plot no.R-07 New Mhada Housing society, Bajajnagar Wadgaon Kolhati","Dr. Bhagwat Karad (2020-26) (NaN-NaN)","Elected MP","N/A","13-Dec-2024","998509"
"8518","Normal/Others","WS/MP144/2024-2025/90816-Construction of rooms and halls in school and colleges","Rajasthan","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Construction work of an assembly hall in Government Higher Secondary School, Barboodniya Block, Sagwada Dungarpur","Shri Bhupender Yadav (2018-24) (NaN-NaN)","Elected MP","Images","24-Apr-2025","1500000"
"8519","Normal/Others","WS/MP025/2023-2024/88097-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA)","Construction of CC Road Cum Drain from Kolimarla Sambiah House to Puli Nageswara Rao HOuse, Uddandarayunipalem, Thullur Mandal","Shri Venkataramana Rao Mopidevi (2020-24) (NaN-NaN)","Elected MP","Images","12-Mar-2026","1862215"
"8520","Normal/Others","WS/MP016/2024-2025/135663-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Construction of small road by providing Paver block arrangements","Shri M. Mohamed Abdulla (2021-25) (NaN-NaN)","Elected MP","N/A","14-Dec-2024","1130000"
