"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"4808","Normal/Others","WS/MP184/2023-2024/120257-Purchase of non-conventional energy system and devices for community use","Uttar Pradesh","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Regarding installation of One (18W) solar street light near Panchayat Sachivalay","Shri G.V.L. Narasimha Rao (2018-24) (NaN-NaN)","Elected MP","N/A","03-Jul-2024","26176"
"4809","Normal/Others","WS/MP137/2023-2024/100642-Street lights","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Installation of Solar Street light at Jagannathpur village under Jagannathpur G.P of Bisoi Block","Smt. Mamata Mohanta (2020-24) (NaN-NaN)","Elected MP","N/A","10-Sep-2024","1000000"
"4810","Normal/Others","WS/MP137/2023-2024/100640-Street lights","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Installation of Solar Street Light at Badpurunapani under Jagannathpur G.P of Bisoi Block , EA - BDO , Bisoi","Smt. Mamata Mohanta (2020-24) (NaN-NaN)","Elected MP","N/A","10-Sep-2024","1000000"
"4811","Normal/Others","WS/MP137/2023-2024/100641-Street lights","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Installation of Solar Street light at Mahiskudar under Jagannathpur G.P of Bisoi Block , EA - BDO , Bisoi","Smt. Mamata Mohanta (2020-24) (NaN-NaN)","Elected MP","N/A","10-Sep-2024","1000000"
"4812","Normal/Others","WS/MP184/2023-2024/120256-Purchase of non-conventional energy system and devices for community use","Uttar Pradesh","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Regarding installation of One (18W) solar street light near Panchayat Sachivalay in Gram Panchyat & Second (18W) solar street light near public gathering place or near bust stop.","Shri G.V.L. Narasimha Rao (2018-24) (NaN-NaN)","Elected MP","N/A","03-Jul-2024","52351"
"4813","Normal/Others","WS/MP137/2023-2024/100639-Street lights","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Installation of Solar Street light at Badajodi village under Jagannathpur G.P of Bisoi Block , EA - BDO , Bisoi","Smt. Mamata Mohanta (2020-24) (NaN-NaN)","Elected MP","N/A","10-Sep-2024","1000000"
"4814","Normal/Others","WS/MP184/2023-2024/120261-Purchase of non-conventional energy system and devices for community use","Uttar Pradesh","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Regarding installation of One (18W) solar street light near Panchayat Sachivalay","Shri G.V.L. Narasimha Rao (2018-24) (NaN-NaN)","Elected MP","N/A","03-Jul-2024","26176"
"4815","Normal/Others","WS/MP184/2023-2024/120260-Purchase of non-conventional energy system and devices for community use","Uttar Pradesh","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Regarding installation of One (18W) solar street light near Panchayat Sachivalay","Shri G.V.L. Narasimha Rao (2018-24) (NaN-NaN)","Elected MP","N/A","03-Jul-2024","26176"
"4816","Normal/Others","WS/MP136/2023-2024/103307-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Const. of CC Road with Guard Wall in the premises of Sarba Mangala +2 Higher Secondary School, Golamunda","Shri Sujeet Kumar (2020-24) (NaN-NaN)","Elected MP","Images","19-Nov-2025","400000"
"4817","Normal/Others","WS/MP070/2024-2025/116235-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA)","Construction work of RCC road from state Highway to I.T.I. at Juna Takhatpur village","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","04-Jul-2024","500000"
"4818","Normal/Others","WS/MP157/2024-2025/132888-Construction of road under bridge","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Strengthening the road from Kollampalayam  Nanjai Uthukuli Road to Karukkampalayam A.D.Colony H/o. 46 Pudur (Km.0/0-0/820)","Shri Anthiyur P. Selvarasu (2020-26) (NaN-NaN)","Elected MP","Images","04-Jul-2024","1769978"
