"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"774","Bihar","Lighting of public spaces","WS/MP18408/2026-2027/269467","ROHTAS(District Planning Officer Rohtas_IDA)","Shri Upendra Kushwaha (2024-26) (2024-2026)","Elected MP","20-Jun-2026","SAWERYA INFRA POWER","Payment Success","950000"
"775","Mizoram","Construction of public staircase/ stair ghat for public convenience","WS/MP129/2026-2027/282219","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","29-Jul-2026","Zemabawk North Local Council 2026","Payment Success","375000"
"776","Gujarat","Fitting of Sitting RCC Benches in Public Places","WS/MP069/2025-2026/249827","JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","14-Jul-2026","Shree Kashtabhanjan Construction","Payment Success","278114"
"777","Madhya Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP232/2026-2027/275334","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","22-Jun-2026","District Disability Rehabilitation centre Rajgarh","Payment Success","120000"
"778","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP129/2026-2027/282245","KOLASIB(Deputy Commissioner Kolasib)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","14-Aug-2026","RK Lalchhuanawma","Payment Success","75000"
"779","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP129/2026-2027/282245","KOLASIB(Deputy Commissioner Kolasib)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","23-Jun-2026","RK Lalchhuanawma","Payment Success","225000"
"780","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/EXRS053/2026-2027/272459","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Prabhat Jha (2014-20) (2014-2020)","Elected MP","25-Jun-2026","Sachiv Kishan public school gram saraychola","Payment Success","100000"
"781","Odisha","Construction of rooms and halls in school and colleges","WS/MP135/2025-2026/256514","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Muzibulla Khan (2020-26) (2020-2026)","Elected MP","04-Aug-2026","Itishree P Behura","Payment Success","395695"
"782","Odisha","Construction of rooms and halls in school and colleges","WS/MP136/2025-2026/41266","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","14-Jul-2026","Itishree P Behura","Payment Success","692652"
"783","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/EXRS075/2025-2026/252729","BANDA(DISTRICT MAGISTRATE BANDA_IDA)","Shri Vishambhar Prasad Nishad (2016-22) (2016-2022)","Elected MP","13-Jul-2026","Pramod kumar","Payment Success","227037"
"784","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217546","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","20-Jun-2026","UMESH CHANDRA MODI","Payment Success","251000"
"785","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218673","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","20-Jun-2026","UMESH CHANDRA MODI","Payment Success","300000"
"786","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218670","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","23-Jun-2026","UMESH CHANDRA MODI","Payment Success","300000"
"787","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218671","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","23-Jun-2026","UMESH CHANDRA MODI","Payment Success","300000"
"788","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218672","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","23-Jun-2026","UMESH CHANDRA MODI","Payment Success","300000"
"789","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217544","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","20-Jun-2026","UMESH CHANDRA MODI","Payment Success","251000"
"790","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217553","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","20-Jun-2026","UMESH CHANDRA MODI","Payment Success","251000"
"791","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217540","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","20-Jun-2026","UMESH CHANDRA MODI","Payment Success","251000"
"792","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217547","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","20-Jun-2026","UMESH CHANDRA MODI","Payment Success","251000"
"793","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218651","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","23-Jun-2026","UMESH CHANDRA MODI","Payment Success","300000"
"794","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218679","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","23-Jun-2026","UMESH CHANDRA MODI","Payment Success","300000"
"795","Jharkhand","Construction of public irrigation facilities","WS/MP083/2025-2026/218717","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","18-Jul-2026","UMESH CHANDRA MODI","Payment Success","300000"
"796","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218652","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","20-Jun-2026","UMESH CHANDRA MODI","Payment Success","300000"
"797","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218648","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","18-Jul-2026","UMESH CHANDRA MODI","Payment Success","300000"
"798","Jharkhand","Construction of public irrigation facilities","WS/MP083/2025-2026/218718","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","UMESH CHANDRA MODI","Payment Success","300000"
"799","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218715","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","UMESH CHANDRA MODI","Payment Success","300000"
"800","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218649","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","UMESH CHANDRA MODI","Payment Success","300000"
"801","Jharkhand","Establishing public lift irrigation projects","WS/MP083/2025-2026/217545","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","UMESH CHANDRA MODI","Payment Success","251000"
"802","Jharkhand","Establishing public lift irrigation projects","WS/MP083/2025-2026/217566","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","UMESH CHANDRA MODI","Payment Success","251000"
"803","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217539","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","UMESH CHANDRA MODI","Payment Success","251000"
"804","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217565","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","24-Jun-2026","UMESH CHANDRA MODI","Payment Success","251000"
"805","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217554","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","24-Jun-2026","UMESH CHANDRA MODI","Payment Success","251000"
"806","Jharkhand","Construction of public irrigation facilities","WS/MP083/2025-2026/218700","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","03-Jul-2026","UMESH CHANDRA MODI","Payment Success","300000"
"807","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218683","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","UMESH CHANDRA MODI","Payment Success","300000"
"808","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218681","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","UMESH CHANDRA MODI","Payment Success","300000"
"809","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP110/2025-2026/208833","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Dr. Fauzia Khan (2020-26) (2020-2026)","Elected MP","21-May-2026","MATOSHRI CONSTRUCTION","Payment Success","959133"
"810","Rajasthan","Construction of public libraries and reading rooms","WS/MP144/2024-2025/22569","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Bhupender Yadav (2018-24) (2018-2024)","Elected MP","13-May-2026","STAR ENTERPRISES","Payment Success","732310"
"811","Uttarakhand","Construction of community centers and community halls","WS/EXRS042/2025-2026/234982","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Shri Mahendra Singh Mahra (2012-18) (2012-2018)","Elected MP","11-May-2026","Rja Ali Ansari","Payment Success","2947705"
"812","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP236/2025-2026/217898","Kotputli-Behror(DISTRICT COLLECTOR Kotputli Behror_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","01-Jul-2026","JAI BABA MOHAN RAM","Payment Success","1492595"
"813","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2026-2027/83598","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2022-24) (2022-2024)","Elected MP","19-May-2026","BUDDE RAMU","Payment Success","496000"
"814","Gujarat","Construction of community centers and community halls","WS/MP069/2025-2026/37505","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","11-May-2026","SAMADHIYALA GRAM PANCHAYAT","Payment Success","452266"
"815","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/EXRS012/2025-2026/250485","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Shri Sambhaji Chhatrapati (2016-22) (2016-2022)","Nominated MP","20-Jan-2026","Sunil Gundu Barage","Payment Success","864000"
"816","Haryana","Construction of community centers and community halls","WS/MP075/2024-2025/35219","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Shri Deepender Singh Hooda (2020-24) (2020-2024)","Elected MP","22-Dec-2025","THE BMP COOPERATIVE MULTIPURPOSE SOCIETY LTD","Payment Success","499968"
"817","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP124/2025-2026/178356","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Smt. Priyanka Chaturvedi (2020-26) (2020-2026)","Elected MP","21-Jan-2026","Suvir Entreprises","Payment Success","3494713"
"818","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP124/2025-2026/178354","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Smt. Priyanka Chaturvedi (2020-26) (2020-2026)","Elected MP","21-Jan-2026","Suvir Entreprises","Payment Success","2995469"
"819","Karnataka","Construction of community centers and community halls","WS/MP089/2025-2026/181488","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","12-Dec-2025","Mohan A B  Hadavanahally","Payment Success","452286"
"820","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP089/2026-2027/277928","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","23-Jul-2026","Mohan A B  Hadavanahally","Payment Success","225000"
"821","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217559","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","01-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","251000"
"822","Jharkhand","Construction of culverts and bridges","WS/MP083/2025-2026/218689","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","300000"
"823","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217600","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","01-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","251000"
"824","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218658","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","03-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","300000"
"825","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218632","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","01-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","300000"
"826","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218675","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","03-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","300000"
"827","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217563","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","03-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","251000"
"828","Jharkhand","Construction of culverts and bridges","WS/MP083/2025-2026/217560","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","24-Jun-2026","PIYUSH KUMAR GOLDAR","Payment Success","300000"
"829","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP083/2025-2026/217570","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","300000"
"830","Jharkhand","Establishing public lift irrigation projects","WS/MP083/2025-2026/217543","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","251000"
"831","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/185448","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","400000"
"832","Jharkhand","Providing drains and gutters for public drainage","WS/MP083/2025-2026/185432","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","300000"
"833","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218684","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","300000"
"834","Jharkhand","Providing drains and gutters for public drainage","WS/MP083/2025-2026/218686","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","04-Jul-2026","PIYUSH KUMAR GOLDAR","Payment Success","300000"
"835","Kerala","Providing supply pipelines for drinking water","WS/MP100/2025-2026/123551","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2021-24) (2021-2024)","Elected MP","13-Jul-2026","SAJITH EMMANUEL","Payment Success","99324"
"836","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP080/2023-2024/110322","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Shri Jagat Prakash Nadda (2018-24) (2018-2024)","Elected MP","18-Jun-2026","ASHOK KUMAR","Payment Success","484502"
"837","Maharashtra","Construction of community centers and community halls","WS/MP122/2026-2027/225745","BEED(DISTRICT COLLECTOR BEED_IDA)","Shri Sharad Pawar (2020-26) (2020-2026)","Elected MP","08-May-2026","JOLA MAJOOR SAHAKARI SLT","Payment Success","997601"
"838","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP100/2025-2026/107856","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Jose K. Mani (2021-24) (2021-2024)","Elected MP","05-May-2026","Rajan M","Payment Success","899532"
"839","Maharashtra","Construction of community centers and community halls","WS/MP18420/2026-2027/274401","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Dhairyashil Mohan Patil (2024-26) (2024-2026)","Elected MP","16-Jul-2026","Ujval Ramkrishna Mhatre","Payment Success","250000"
"840","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP232/2026-2027/273297","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","21-May-2026","GP NARAYNA JP SARANGPUR","Payment Success","250000"
"841","Andhra Pradesh","Construction of community centers and community halls","WS/MP026/2025-2026/202408","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri Subhas Chandra Bose Pilli (2020-26) (2020-2026)","Elected MP","05-May-2026","BATTULA DURGA PRASAD","Payment Success","485116"
"842","Andhra Pradesh","Construction of buildings for community cultural activities","WS/MP026/2023-2024/86846","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri Subhas Chandra Bose Pilli (2020-26) (2020-2026)","Elected MP","04-May-2026","ANDE VEERA VENKATA LAKSHMANA RAO","Payment Success","1236564"
"843","Andhra Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP026/2025-2026/203894","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Shri Subhas Chandra Bose Pilli (2020-26) (2020-2026)","Elected MP","18-Jul-2026","ANDE VEERA VENKATA LAKSHMANA RAO","Payment Success","993481"
"844","Andhra Pradesh","Construction of community centers and community halls","WS/MP026/2024-2025/141532","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri Subhas Chandra Bose Pilli (2020-26) (2020-2026)","Elected MP","04-May-2026","Tadala Lokeswar","Payment Success","1322478"
"845","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP075/2025-2026/35790","JIND(DEPUTY COMMISSIONER JIND)","Shri Deepender Singh Hooda (2020-24) (2020-2024)","Elected MP","04-May-2026","THE SHANKUNTLA CO OP LTD SOCIETY","Payment Success","406773"
"846","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP026/2025-2026/235088","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Shri Subhas Chandra Bose Pilli (2020-26) (2020-2026)","Elected MP","20-Jun-2026","Saladi Krishnamohan","Payment Success","499988"
"847","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP026/2025-2026/235086","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Shri Subhas Chandra Bose Pilli (2020-26) (2020-2026)","Elected MP","19-Jun-2026","Saladi Krishnamohan","Payment Success","497427"
"848","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP026/2025-2026/235087","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Shri Subhas Chandra Bose Pilli (2020-26) (2020-2026)","Elected MP","27-Jul-2026","Saladi Krishnamohan","Payment Success","488307"
"849","Kerala","Construction of community centers and community halls","WS/MP098/2024-2025/132890","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri Elamaram Kareem (2018-24) (2018-2024)","Elected MP","06-May-2026","G SANTHOSH KUMAR","Payment Success","1229248"
"850","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP010/2026-2027/255541","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Dr. Sumer Singh Solanki (2020-26) (2020-2026)","Elected MP","30-May-2026","Jagadish Public School","Payment Success","540000"
"851","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18409/2025-2026/198687","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Shri Debashish Samantaray (2024-30) (2024-2026)","Elected MP","23-Jun-2026","Shushila Marndi","Payment Success","500000"
"852","Karnataka","Construction of community centers and community halls","WS/MP089/2024-2025/138337","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","09-Jul-2026","Vishwanath B B","Payment Success","375000"
"853","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP128/2025-2026/211585","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","Dr. Wanweiroy Kharlukhi (2020-26) (2020-2026)","Elected MP","25-Jun-2026","Mawiong Presbyterian LP School","Payment Success","500000"
"854","Karnataka","Construction of community centers and community halls","WS/MP089/2025-2026/181519","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","09-Jul-2026","Prajwal N Gowda","Payment Success","225000"
"855","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP122/2026-2027/186457","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Shri Sharad Pawar (2020-26) (2020-2026)","Elected MP","23-Jun-2026","jay khanderiya majur sahakari sanstha ltd","Payment Success","993054"
"856","Haryana","Construction of community centers and community halls","WS/MP076/2025-2026/48991","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","03-Jul-2026","The Vishavkarma Barwala Coopperative Labour and Construction Society Limited","Payment Success","494132"
"857","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP049/2025-2026/187916","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Shri Ram Nath Thakur (2020-26) (2020-2026)","Elected MP","13-Jun-2026","SANJEEV KUMAR","Payment Success","989044"
"858","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18424/2025-2026/228961","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2024-26) (2024-2026)","Elected MP","30-May-2026","SUMIT AGRAWAL","Payment Success","500000"
"859","Maharashtra","Purchase of IT systems, including hardware and software for educational purposes","WS/MP121/2025-2026/203759","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","Shri Ramdas Bandu Athawale (2020-26) (2020-2026)","Elected MP","21-Aug-2026","AKSHAR INFOTECH","Payment Success","400000"
"860","Assam","Development of playground","WS/MP037/2025-2026/258805","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Shri Bhubaneswar Kalita (2020-26) (2020-2026)","Elected MP","04-Aug-2026","DIPANKAR DUTTA","Payment Success","999000"
"861","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP232/2026-2027/206563","GUNA(District Collector Guna_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","22-Jun-2026","sarpanch sachiv amaser sarp savita bai","Payment Success","118953"
"862","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP129/2026-2027/282243","KOLASIB(Deputy Commissioner Kolasib)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","18-Jun-2026","LALNUNMAWIA","Payment Success","1050000"
"863","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP129/2026-2027/282244","KOLASIB(Deputy Commissioner Kolasib)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","18-Jun-2026","LALRUATKIMA","Payment Success","1050000"
"864","Tamil Nadu","Establishing public ground water recharging facilities","WS/MP160/2026-2027/175952","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri G.K. Vasan (2020-26) (2020-2026)","Elected MP","15-Jun-2026","VRR CONSTRUCTION","Payment Success","1472927"
"865","Maharashtra","Construction of community centers and community halls","WS/MP122/2026-2027/225503","BEED(DISTRICT COLLECTOR BEED_IDA)","Shri Sharad Pawar (2020-26) (2020-2026)","Elected MP","18-Jun-2026","ANNABHAU SATHE MAGASVARGIYA MAJOOR SAHKARI SANSTHA","Payment Success","994479"
"866","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP142/2025-2026/190944","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Sanjeev Arora (2022-25) (2022-2025)","Elected MP","22-Jun-2026","AFROZ ENTERPRISES","Payment Success","28400"
"867","Odisha","Construction of community centers and community halls","WS/MP133/2025-2026/190736","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Shri Niranjan Bishi (2022-26) (2022-2026)","Elected MP","07-Jul-2026","BABA CHAMPESWAR DAS","Payment Success","300000"
"868","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP129/2026-2027/282242","KOLASIB(Deputy Commissioner Kolasib)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","18-Jun-2026","LALDUHSAKI","Payment Success","975000"
