"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2651","Normal/Others","WS/MP830/2023-2024/14073-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Arunachal Pradesh","PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA)","Shri Nabam Rebia (2020-26) (2020-2026)","Elected MP","Construction of flood protection wall at Upper Nyorch River","29-Aug-2023","1000000","07-Nov-2023"
"2652","Normal/Others","WS/MP105/2023-2024/14109-Construction of additional rooms and halls in the existing public and community building","Madhya Pradesh","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for construction of additional room work, Rahwasi Samiti  Complex, Orcherd Palace, Kolar Road","29-Aug-2023","499000","05-Mar-2024"
"2653","Normal/Others","WS/MP105/2023-2024/14126-Construction of rooms and halls in school and colleges","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","work agency for cunstraction of  room-shri dwarika prasad sewa samiti, barua","29-Aug-2023","699000","04-Oct-2023"
"2654","Normal/Others","WS/MP105/2023-2024/14148-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 709782, SB Project ID: 5079077","29-Aug-2023","266000","03-Oct-2023"
"2655","Normal/Others","WS/MP105/2023-2024/14151-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 719499, SB Project ID: 5091624","29-Aug-2023","183000","03-Oct-2023"
"2656","Normal/Others","WS/MP105/2023-2024/14188-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 719448, SB Project ID: 5091625","29-Aug-2023","180000","03-Oct-2023"
"2657","Normal/Others","WS/MP105/2023-2024/14189-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 719428, SB Project ID: 5091514","29-Aug-2023","225000","03-Oct-2023"
"2658","Normal/Others","WS/MP105/2023-2024/14195-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 717193, SB Project ID: 5090132","29-Aug-2023","236000","03-Oct-2023"
"2659","Normal/Others","WS/MP105/2023-2024/14207-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 713410, SB Project ID: 5082158","29-Aug-2023","227000","03-Oct-2023"
"2660","Normal/Others","WS/MP105/2023-2024/14234-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 726474, SB Project ID: 5098059","29-Aug-2023","510000","03-Oct-2023"
"2661","Normal/Others","WS/MP105/2023-2024/14237-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 725647, SB Project ID: 5097449","29-Aug-2023","276000","03-Oct-2023"
"2662","Normal/Others","WS/MP105/2023-2024/14243-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 713413, SB Project ID: 5082131","29-Aug-2023","381000","03-Oct-2023"
"2663","Normal/Others","WS/MP105/2023-2024/14246-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 706865, SB Project ID: 5077137","29-Aug-2023","233000","03-Oct-2023"
"2664","Normal/Others","WS/MP105/2023-2024/14250-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 713408, SB Project ID: 5079733","29-Aug-2023","235000","03-Oct-2023"
"2665","Normal/Others","WS/MP232/2023-2024/14328-Construction of buildings for community cultural activities","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of Community Building for Community activities in village Bawdi Kheda, Block Khilchipur, Dist. Rajgarh","29-Aug-2023","500000","24-Sep-2023"
"2666","Normal/Others","WS/MP232/2023-2024/14329-Construction of buildings for community cultural activities","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of Community Building for Community activities in village Kundibeh under Fatehpur Gram Panchayat, Block Khilchipur, Dist. Rajgarh","29-Aug-2023","500000","24-Sep-2023"
"2667","Normal/Others","WS/MP232/2023-2024/14330-Construction of buildings for community cultural activities","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of Community Building for Community activities in village Khedi under Khedi Gram Panchayat, Block Jirapur, Dist. Rajgarh","29-Aug-2023","500000","27-Sep-2023"
"2668","Normal/Others","WS/MP232/2023-2024/14331-Construction of buildings for community cultural activities","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of Community Building for Community activities in village Gagorni under Gagorni Gram Panchayat, Block Jirapur, Dist. Rajgarh","29-Aug-2023","500000","05-Oct-2023"
"2669","Normal/Others","WS/MP232/2023-2024/14332-Construction of buildings for community cultural activities","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of Community Building for Community activities in village Khatakhedi under Khatakhedi Gram Panchayat, Block Jirapur, Dist. Rajgarh","29-Aug-2023","500000","24-Sep-2023"
"2670","Normal/Others","WS/MP232/2023-2024/14333-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of C.C. Road and Drainage in village Govindpura under Govindpura Gram Panchayat. Block Jirapur, Dist. Rajgarh","29-Aug-2023","500000","27-Sep-2023"
"2671","Normal/Others","WS/MP105/2023-2024/14392-Construction of buildings for community cultural activities","Madhya Pradesh","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Construction work of solid stage with shed for cultural program","30-Aug-2023","738086","09-Oct-2023"
"2672","Normal/Others","WS/MP105/2023-2024/14396-Construction of rooms and halls in school and colleges","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","work agency for construction of room work Bhaskar singh education and jansewa Institute, rewa","30-Aug-2023","499000","17-Jan-2024"
"2673","Normal/Others","WS/MP105/2023-2024/14398-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 754811, SB Project ID: 5121372","30-Aug-2023","265800","30-Sep-2023"
"2674","Normal/Others","WS/MP105/2023-2024/14399-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 721294, SB Project ID: 5093487","30-Aug-2023","278000","30-Sep-2023"
"2675","Normal/Others","WS/MP105/2023-2024/14400-Improvement of electricity distribution infrastructure","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for power extension work-Executive Engineer Public Works Department Rewa, (Electrical Engineering), Project Number 740856, SB Project ID: 5110486","30-Aug-2023","314700","30-Sep-2023"
"2676","Normal/Others","WS/MP105/2023-2024/14447-Construction of culverts and bridges","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for culvert construction work gram panchayat dagdaiya","30-Aug-2023","499000","09-Oct-2023"
"2677","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for road construction work-Gram Panchayat Panwar","30-Aug-2023","299000","NA"
"2678","Normal/Others","WS/MP105/2023-2024/14451-Construction of boundary walls of existing public and community buildings","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for boundary wall construction work-Dau Laxman Singh Kolha Siksha Samiti","30-Aug-2023","499000","05-Oct-2023"
"2679","Normal/Others","WS/MP105/2023-2024/14452-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for PCC road construction work-Gram Panchayat Pathrauda","30-Aug-2023","499000","07-Oct-2023"
"2680","Normal/Others","WS/MP105/2023-2024/14453-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for PCC road construction work-Gram Panchayat Jhalwa","30-Aug-2023","299000","30-Sep-2023"
"2681","Normal/Others","WS/MP105/2023-2024/14454-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for PCC road construction work-Gram Panchayat Niva","30-Aug-2023","499000","08-Feb-2024"
"2682","Normal/Others","NA-Construction of rooms and halls in school and colleges","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for computer room construction work-DR Samaj Sewa Samiti","30-Aug-2023","499000","NA"
"2683","Normal/Others","WS/MP105/2023-2024/14456-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for road construction work-PMGSY Rewa","30-Aug-2023","1765000","28-Feb-2024"
"2684","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for road murmikaran construction work-Gram Panchayat majanraksa","30-Aug-2023","100000","NA"
"2685","Normal/Others","WS/MP105/2023-2024/14458-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for PCC road construction work-Gram Panchayat Jeruka","30-Aug-2023","299000","06-Oct-2023"
"2686","Repair and Renovation","WS/MP105/2023-2024/14459-Construction of buildings for crèches and anganwadies","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for aganbadies building renovation construction work-Gram Panchayat Bhitauha","30-Aug-2023","499000","06-Oct-2023"
"2687","Normal/Others","WS/MP105/2023-2024/14462-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for PCC road construction work-Gram Panchayat Duari","30-Aug-2023","400000","12-Dec-2023"
"2688","Normal/Others","WS/MP105/2023-2024/14464-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for gravel road construction work-Gram Panchayat Pathari","30-Aug-2023","499000","04-Oct-2023"
"2689","Normal/Others","WS/MP105/2023-2024/14465-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for shed construction work (Advocates Association) Gram Panchayat Java","30-Aug-2023","199000","19-Dec-2023"
"2690","Normal/Others","WS/MP105/2023-2024/14467-Providing drains and gutters for public drainage","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for drain construction work-Gram Panchayat Mado","30-Aug-2023","299000","12-Jan-2024"
"2691","Normal/Others","WS/MP105/2023-2024/14468-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for gravel road construction work-Gram Panchayat Mauhara","30-Aug-2023","299000","06-Oct-2023"
"2692","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for PCC road construction work-Gram Panchayat Itarpahad","30-Aug-2023","299000","NA"
"2693","Normal/Others","NA-Construction of boundary walls of existing public and community buildings","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for boundary wall construction work-Siksha Mamiti Garhawa","30-Aug-2023","149000","NA"
"2694","Normal/Others","WS/MP105/2023-2024/14472-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for gravel road construction work-Gram Panchayat Siswa","30-Aug-2023","299000","12-Feb-2024"
"2695","Normal/Others","WS/MP105/2023-2024/14473-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for gravel road construction work-Gram Panchayat Jawa","30-Aug-2023","399000","19-Dec-2023"
"2696","Normal/Others","WS/MP105/2023-2024/14474-Construction of rooms and halls in school and colleges","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Working agency for room construction work – BRP Memorial Higher Secondary School","30-Aug-2023","399000","29-Dec-2023"
"2697","Normal/Others","WS/MP105/2023-2024/14475-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Working agency common shed construction work – Gram Panchayat Andawa","30-Aug-2023","199000","07-Oct-2023"
"2698","Normal/Others","WS/MP105/2023-2024/14476-Construction of rainwater harvesting structures","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Working agency for returning wall construction work – Gram Panchayat Bhadra","30-Aug-2023","299000","07-Oct-2023"
"2699","Normal/Others","WS/MP012/2023-2024/14502-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Dr. Prashanta Nanda (2018-24) (2018-2024)","Elected MP","Construction of C.C. road from Hatiphakan main road to Subash Bodek house of village kadalimunda","31-Aug-2023","500000","24-Jan-2024"
"2700","Normal/Others","WS/MP142/2023-2024/14503-Construction of community centers and community halls","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Sanjeev Arora (2022-25) (2022-2025)","Elected MP","Construction of community Hall in SIDHWAN BET village","31-Aug-2023","2499993","19-Sep-2023"
"2701","Normal/Others","WS/MP105/2023-2024/14539-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for gravel road construction work-Gram Panchayat Rimari","31-Aug-2023","299000","26-Feb-2024"
"2702","Normal/Others","WS/MP105/2023-2024/14541-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for PCC road construction work-Gram Panchayat Ramgarha","31-Aug-2023","199000","09-Oct-2023"
"2703","Normal/Others","NA-Construction of public toilets and bathrooms","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for public toilets construction work-Gram Panchayat Birpur","31-Aug-2023","299000","NA"
"2704","Normal/Others","WS/MP105/2025-2026/14543-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for road murmikaran construction work-Gram Panchayat Rimari","31-Aug-2023","299000","18-Jun-2025"
"2705","Normal/Others","WS/MP105/2023-2024/14546-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work Agency for concrete road construction Work-Gram Panchayat Gujartodi","31-Aug-2023","199000","09-Oct-2023"
"2706","Normal/Others","WS/MP105/2023-2024/14555-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency forgravel road  construction work-Gram Panchayat Gahilwar","31-Aug-2023","299000","03-Oct-2023"
"2707","Normal/Others","WS/MP105/2023-2024/14556-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for PCC road construction work-Gram Panchayat Chachai","31-Aug-2023","199000","17-Jan-2024"
"2708","Normal/Others","WS/MP105/2023-2024/14557-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for road murmikaran construction work-Gram Panchayat Deogaon","31-Aug-2023","299000","04-Oct-2023"
"2709","Normal/Others","WS/MP105/2023-2024/14564-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","REWA(DISTRICT COLLECTOR REWA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for PCC road construction work-Gram Panchayat Gadha (137)","31-Aug-2023","699000","30-Jan-2024"
"2710","Normal/Others","WS/MP105/2023-2024/14565-Construction of culverts and bridges","Madhya Pradesh","BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","Work agency for culvert construction work-Gram Panchayat Dadkasa","31-Aug-2023","1448925","17-Jan-2024"
"2711","Normal/Others","WS/MP150/2023-2024/14568-Construction of buildings for community cultural activities","Rajasthan","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","bari m cultural activity","31-Aug-2023","2499932","28-Sep-2023"
"2712","Normal/Others","WS/MP150/2023-2024/14570-Construction of rooms and halls in school and colleges","Rajasthan","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","Govt. Senior secondary school bamanwas m rooms works","31-Aug-2023","699800","07-Oct-2023"
"2713","Normal/Others","WS/MP150/2024-2025/14573-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","gram kherla gadali m cc road work hanthai se kirodi ke ghar ki or","31-Aug-2023","500000","30-Sep-2024"
"2714","Normal/Others","WS/MP150/2023-2024/14575-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","tricycles (manual or motorized)","31-Aug-2023","2148225","02-Oct-2023"
"2715","Normal/Others","WS/MP150/2023-2024/14580-Development of public parks","Rajasthan","TONK(DISTRICT COLLECTOR TONK_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","gram anwa ke shamshanghat vistar","31-Aug-2023","700000","22-Dec-2023"
"2716","Normal/Others","WS/MP150/2024-2025/14610-Development of public parks","Rajasthan","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","gram bandpur m works","31-Aug-2023","304116","04-Sep-2024"
"2717","Normal/Others","WS/MP031/2023-2024/14616-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","Formation of Road from H.W.Salt Society to Juvvagu Salt Society at East Gogulapalli GP of Allur Mandal","31-Aug-2023","1761055","01-Nov-2023"
"2718","Normal/Others","WS/MP031/2023-2024/14617-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","Formation of Road from Audhinarayanapuram to Samban Salt Society at East Gogulapalli GP of Allur Mandal","31-Aug-2023","1726100","01-Nov-2023"
"2719","Normal/Others","WS/MP031/2023-2024/14625-Construction of community centers and community halls","Andhra Pradesh","Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","Construction of Community Hall in V.Kothakota Village of Vidapanakal Mandal of Ananthapuram district","31-Aug-2023","1000000","21-Sep-2023"
"2720","Normal/Others","WS/MP031/2023-2024/14626-Construction of community centers and community halls","Andhra Pradesh","Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","Construction of Additional rooms for public utility building at Neelakantapuram (V) of Govidapuram fields of Gangalavaipalyam GP of Madakasira Mandal of Sri Sathya Sai District","31-Aug-2023","4900000","07-Nov-2023"
"2721","Normal/Others","WS/MP012/2023-2024/14663-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Dr. Prashanta Nanda (2018-24) (2018-2024)","Elected MP","Construction of C.C. road from Budhimunda Ranmandir para to canal chowk of village kankeri","31-Aug-2023","800000","24-Jan-2024"
"2722","Normal/Others","WS/MP150/2023-2024/14759-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SAWAI MADHOPUR(DISTRICT COLLECTOR SAWAI MADHOPUR_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","Gram kodyai m cc road rajiv gandhi sewa kendra ls r.o ki or","01-Sep-2023","1000000","28-Sep-2023"
"2723","Normal/Others","WS/MP150/2023-2024/14760-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SAWAI MADHOPUR(DISTRICT COLLECTOR SAWAI MADHOPUR_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","gram kodyai m dinesh ke ghar se aangabadi rd cc road","01-Sep-2023","499667","28-Sep-2023"
"2724","Normal/Others","WS/MP150/2023-2024/14762-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SAWAI MADHOPUR(DISTRICT COLLECTOR SAWAI MADHOPUR_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","Gram sesa se diwada tak cc road","01-Sep-2023","999310","28-Sep-2023"
"2725","Normal/Others","WS/MP150/2023-2024/14763-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SAWAI MADHOPUR(DISTRICT COLLECTOR SAWAI MADHOPUR_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","Gram gambheera m heeraman Chok se khatipada ki or cc road","01-Sep-2023","998842","28-Sep-2023"
"2726","Normal/Others","WS/MP150/2023-2024/14764-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","cc road dangal Studium bhairu baba tak kariri","01-Sep-2023","1000000","15-Mar-2024"
"2727","Normal/Others","WS/MP150/2023-2024/14765-Construction of community centers and community halls","Rajasthan","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","gram gerai m hanthai nirwan","01-Sep-2023","715964","20-Feb-2024"
"2728","Normal/Others","WS/MP150/2023-2024/14766-Construction of community centers and community halls","Rajasthan","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","gram gerai m samudayik bhavan work in bairwa basti","01-Sep-2023","485716","20-Feb-2024"
"2729","Normal/Others","WS/MP150/2023-2024/14767-Construction of community centers and community halls","Rajasthan","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Dr. Kirodi Lal Meena (2018-23) (2018-2023)","Elected MP","gram gwaripura bairwa basti m samudayik bhavan work","01-Sep-2023","485925","20-Feb-2024"
