"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"24013","Normal/Others","WS/MP049/2025-2026/275795-Setting up of laboratories","Bihar","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Shri Ram Nath Thakur (2020-26) (2020-2026)","Elected MP","Supply and installation of laboratory materials in Higher Secondary School, Nikaspur Block-Morwa District-Samastipur","25-Mar-2026","30-Mar-2026","1234534","Physical Inspection"
"24014","Normal/Others","WS/MP049/2025-2026/275796-Setting up of laboratories","Bihar","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Shri Ram Nath Thakur (2020-26) (2020-2026)","Elected MP","Supply and installation of laboratory material in J High School, Vajitpur Karnail Block-Morwa District-Samastipur","25-Mar-2026","30-Mar-2026","1234534","Physical Inspection"
"24015","Normal/Others","WS/MP049/2025-2026/275797-Setting up of laboratories","Bihar","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Shri Ram Nath Thakur (2020-26) (2020-2026)","Elected MP","Supply and installation of laboratory material in High School Siropatti Khatuaha Block-Khanpur District-Samastipur","25-Mar-2026","30-Mar-2026","1234534","Physical Inspection"
"24016","Normal/Others","WS/MP049/2025-2026/275798-Setting up of laboratories","Bihar","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Shri Ram Nath Thakur (2020-26) (2020-2026)","Elected MP","Supply and installation of laboratory material in Higher Secondary School Vikrampur Bande Block Samastipur District-Samastipur","25-Mar-2026","30-Mar-2026","1234534","Physical Inspection"
"24017","Normal/Others","WS/MP049/2025-2026/275799-Setting up of laboratories","Bihar","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Shri Ram Nath Thakur (2020-26) (2020-2026)","Elected MP","Supply and installation of laboratory materials in Upgraded Secondary School Khodi Laguniya Suryakanth Block and","25-Mar-2026","30-Mar-2026","1234534","Physical Inspection"
"24018","Normal/Others","WS/MP049/2025-2026/275800-Setting up of laboratories","Bihar","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Shri Ram Nath Thakur (2020-26) (2020-2026)","Elected MP","Supply and installation of laboratory material in H.N. High School, Belari Block-Ujiarpur District-Samastipur","25-Mar-2026","30-Mar-2026","1234534","Physical Inspection"
"24019","Normal/Others","WS/MP045/2026-2027/275826-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","PCC dhalai work from the house of Shriram Sharma via different streets to Shankar Ji tmeple","25-Mar-2026","16-May-2026","1500000","Sanction"
"24020","Normal/Others","WS/MP045/2026-2027/275827-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","PCC dhalai work from Ward 12 plot of Mr. Sudarshan Singh to Nirakpur","25-Mar-2026","19-May-2026","1500000","Sanction"
"24021","Normal/Others","WS/MP045/2026-2027/275828-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","PCC Dhalai work from Surya Mandir iSurya Mandir Chabutra to the School","25-Mar-2026","16-May-2026","1500000","Sanction"
"24022","Normal/Others","WS/MP045/2026-2027/275829-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","PCC Dhalai work from the house of Bachchu Ram via different streets to the house of Nathu Ram","25-Mar-2026","16-May-2026","1500000","Sanction"
"24023","Normal/Others","WS/MP045/2026-2027/275830-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","PCC Dhalai work from the  house of Shri Jitendra Yadav via different streets to the house of Shri Ravindra.","25-Mar-2026","16-May-2026","1500000","Sanction"
"24024","Normal/Others","WS/MP045/2026-2027/275831-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","PCC Dhalai work in village Dharahara Ward 11 from Main Road to the house of Shri Kumud Ranjan Singh","25-Mar-2026","16-May-2026","1040000","Sanction"
"24025","Normal/Others","WS/MP045/2026-2027/275832-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal near the house of Mahesh Kumar in Village Dharahara Ward 11","25-Mar-2026","19-May-2026","90000","Sanction"
"24026","Normal/Others","WS/MP045/2026-2027/275833-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal  near the house of Gopal Sharan Singh in Akhtiarpur Nagar  Panchayat Ward 4","25-Mar-2026","19-May-2026","90000","Sanction"
"24027","Normal/Others","WS/MP045/2026-2027/275834-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal near the house of Vikas Kumar in Village Patriga Panchayat Mundika","25-Mar-2026","19-May-2026","90000","Sanction"
"24028","Normal/Others","WS/MP045/2026-2027/275835-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal near the plot of Awadhesh Singh in Village Patgriga Panchayatg Murika","25-Mar-2026","19-May-2026","90000","Sanction"
"24029","Normal/Others","WS/MP045/2026-2027/275836-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal near the house of Apu Sharma in Village Nadhari","25-Mar-2026","19-May-2026","90000","Sanction"
"24030","Normal/Others","WS/MP045/2026-2027/275837-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal near the plot of Virendra Sharma in Village Nadhari","25-Mar-2026","19-May-2026","90000","Sanction"
"24031","Normal/Others","WS/MP045/2026-2027/275838-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal near the house of Abhirendra Sharma in Village Nadhari","25-Mar-2026","19-May-2026","90000","Sanction"
"24032","Normal/Others","WS/MP045/2026-2027/275839-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal near the house of RA njan Singh in Village Nadhari","25-Mar-2026","19-May-2026","90000","Sanction"
"24033","Normal/Others","WS/MP045/2026-2027/275840-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal near the plot of Piyush Ji in  Village Dharhara Ward 11","25-Mar-2026","19-May-2026","90000","Sanction"
"24034","Normal/Others","WS/MP045/2026-2027/275841-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal at Gadh Hata in Village Dharahara Ward 11","25-Mar-2026","19-May-2026","90000","Sanction"
"24035","Normal/Others","WS/MP045/2026-2027/275842-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal in Village Baua Surya Mandir Panchayat Nadhari Kodhari","25-Mar-2026","19-May-2026","90000","Sanction"
"24036","Normal/Others","WS/MP045/2026-2027/275843-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal in Village Kodahari near Do Muhane","25-Mar-2026","19-May-2026","90000","Sanction"
"24037","Normal/Others","WS/MP045/2026-2027/275844-Installing hand pumps","Bihar","ARWAL(District Planning Officer Arwal_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal near the Khet of Pramod Kumar in Village Rampur Panchayat Aayara, Prakhand Karpy","25-Mar-2026","18-Jun-2026","90000","Physical Inspection"
"24038","Normal/Others","WS/MP045/2026-2027/275845-Installing hand pumps","Bihar","ARWAL(District Planning Officer Arwal_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal Village Pnachayat Bambhai near the house of Vinod Sharma","25-Mar-2026","18-Jun-2026","90000","Vendor Identification"
"24039","Normal/Others","WS/MP045/2026-2027/275846-Installing hand pumps","Bihar","ARWAL(District Planning Officer Arwal_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal in Village Bambhai near the house of Harsh Kumar","25-Mar-2026","18-Jun-2026","90000","Vendor Identification"
"24040","Normal/Others","WS/MP045/2026-2027/275847-Installing hand pumps","Bihar","ARWAL(District Planning Officer Arwal_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal near the Khet of Vijay Sharma in Kinjar Panchayat","25-Mar-2026","18-Jun-2026","90000","Physical Inspection"
"24041","Normal/Others","WS/MP045/2026-2027/275848-Installing hand pumps","Bihar","ARWAL(District Planning Officer Arwal_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Chapakal in Village Kinjar near the house of Gautam Kumar","25-Mar-2026","18-Jun-2026","90000","Vendor Identification"
"24042","Normal/Others","WS/MP045/2026-2027/275859-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Nal near Mahavir Mandir in Village Kab","25-Mar-2026","19-May-2026","90000","Sanction"
"24043","Normal/Others","WS/MP045/2026-2027/275860-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Nathi Kal at Devi Sthan near the School at NH 139","25-Mar-2026","19-May-2026","90000","Sanction"
"24044","Normal/Others","WS/MP045/2026-2027/275861-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal near the house o fRaju Singh in Village Kab","25-Mar-2026","19-May-2026","90000","Sanction"
"24045","Normal/Others","WS/MP045/2026-2027/275862-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal in Village Kab near the house of Saroj Singh","25-Mar-2026","19-May-2026","90000","Sanction"
"24046","Normal/Others","WS/MP045/2026-2027/275863-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal near the house of Rabi Singh in Village Kab","25-Mar-2026","19-May-2026","90000","Sanction"
"24047","Normal/Others","WS/MP045/2026-2027/275864-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal near Thakurbadi School in Village Kab","25-Mar-2026","19-May-2026","90000","Sanction"
"24048","Normal/Others","WS/MP045/2026-2027/275865-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal near the house of Golu Sao in Village Kab","25-Mar-2026","19-May-2026","90000","Sanction"
"24049","Normal/Others","WS/MP045/2026-2027/275868-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal at Akhada in Villge Kab","25-Mar-2026","19-May-2026","90000","Sanction"
"24050","Normal/Others","WS/MP045/2026-2027/275869-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hatghi Kal near the Khalihan of Harendra Singh in village Kab","25-Mar-2026","19-May-2026","90000","Sanction"
"24051","Normal/Others","WS/MP045/2026-2027/275870-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal near the house of Arvind Kumar in village Kab","25-Mar-2026","19-May-2026","90000","Sanction"
"24052","Normal/Others","WS/MP045/2026-2027/275871-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal in Amnvainar","25-Mar-2026","19-May-2026","90000","Sanction"
"24053","Normal/Others","WS/MP045/2026-2027/275874-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal near the house of Vinod Singh in village Kab","25-Mar-2026","19-May-2026","90000","Sanction"
"24054","Normal/Others","WS/MP045/2026-2027/275880-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal near the Khet of Chhotu Singh in village Kab Navadih","25-Mar-2026","19-May-2026","90000","Sanction"
"24055","Normal/Others","WS/MP045/2026-2027/275881-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal near the Khet of Surya Kumar Singhin Village Kab, Gangasagar Badhar","25-Mar-2026","19-May-2026","90000","Sanction"
"24056","Normal/Others","WS/MP045/2026-2027/275882-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal in village Kab at Tola near the bagicha of Anshu Singh","25-Mar-2026","19-May-2026","90000","Sanction"
"24057","Normal/Others","WS/MP045/2026-2027/275883-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal in village Kab near Agaja Singh","25-Mar-2026","19-May-2026","90000","Sanction"
"24058","Normal/Others","WS/MP045/2026-2027/275884-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal near the house of Guddu Singh","25-Mar-2026","19-May-2026","90000","Sanction"
"24059","Normal/Others","WS/MP045/2026-2027/275885-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal in village Baijalpur near Akshayver Singh Deh","25-Mar-2026","19-May-2026","90000","Sanction"
"24060","Normal/Others","WS/MP045/2026-2027/275886-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal in village Baijalpur near the house of Somari Yadav","25-Mar-2026","19-May-2026","90000","Sanction"
"24061","Normal/Others","WS/MP045/2026-2027/275887-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal near the house of Kedar Singh in Village Baduri","25-Mar-2026","19-May-2026","90000","Sanction"
"24062","Normal/Others","WS/MP045/2026-2027/275888-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal near the khet of Ram Kumar Yadav in Village Dhana.","25-Mar-2026","19-May-2026","90000","Sanction"
"24063","Normal/Others","WS/MP045/2026-2027/275907-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri A. D. Singh (2020-26) (2020-2026)","Elected MP","Construction of Hathi Kal in Ainkhan Village near Mela ke Pass","25-Mar-2026","19-May-2026","90000","Sanction"
"24064","Normal/Others","WS/MP175/2026-2027/275919-Construction of additional rooms and halls in the existing public and community building","Chhattisgarh","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","Atirikt Kaksh Niman Budahadev ankalyan Samiti Ke Bhawar Me Sanchalit Ved Vidyala Hetu Duty Tal Per, Durgawati Ward, Nagar Nigam, Raipur","20-Feb-2023","15-May-2026","250000","Work partially Completed"
"24065","Normal/Others","WS/EXRS066/2026-2027/276007-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","VIDISHA(District Collector Vidisha_IDA)","Shri M. J. Akbar (2016-22) (2016-2022)","Elected MP","TIN SHED WORK AT SHRI KRISHNA GAUSHALA LATERI ROAD IN SIRONJ","26-Mar-2026","24-Jun-2026","1211790","Sanction"
"24066","Normal/Others","WS/MP093/2026-2027/276014-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","KODAGU(Deputy Commsioner Kodagu_ida)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF CC ROAD CC DRAIN AND WALL MAHADEVPETE MAIN ROAD TO DEANGA SAMUDHAYA BHAVAN ROAD","26-Mar-2026","04-Sep-2026","2000000","Work partially Completed"
"24067","Normal/Others","WS/MP170/2026-2027/276051-Street lights","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","Providing of Street Lights in Venugopalapuram (V), Nadigudem (M), Suryapet (Dist.)","27-Mar-2026","16-May-2026","500000","Physical Inspection"
"24068","Normal/Others","WS/MP170/2026-2027/276052-Street lights","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","Providing of Street Lights in Nadigudem (V), Nadigudem (M), Suryapet (Dist.)","27-Mar-2026","16-May-2026","500000","Physical Inspection"
"24069","Normal/Others","WS/MP170/2026-2027/276053-Street lights","Telangana","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","Providing of Street Lights in Bonakal (V), Bonakal (M), Khammam (Dist.)","27-Mar-2026","18-Jun-2026","500000","Work partially Completed"
"24070","Normal/Others","WS/MP170/2026-2027/276054-Street lights","Telangana","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","Providing of Street Lights at SC ST Colony in Bonakal (V), Bonakal (M), Khammam (Dist.)","27-Mar-2026","18-Jun-2026","500000","Work partially Completed"
"24071","Normal/Others","WS/MP170/2026-2027/276055-Street lights","Telangana","JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA)","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","Providing of Street Lights in Lingala (V), Regonda (M), Jayashenkar Bhupalapalli (Dist.)","27-Mar-2026","20-Jun-2026","500000","Work partially Completed"
"24072","Normal/Others","WS/MP170/2026-2027/276057-Street lights","Telangana","JAYASHANKAR BHUPALAPALLY(DISTRICT COLLECTOR JAYASHANKAR BHUPALPALLY_IDA)","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","Providing of Street Lights in Chityal (V), Eletramaiahpally (H.Q), Chityal (M), Jayashenkar Bhupalapalli (Dist.)","27-Mar-2026","20-Jun-2026","500000","Work partially Completed"
"24073","Normal/Others","WS/MP077/2026-2027/276121-Construction of roads, link roads, pathways or any other road with or without drainage system","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Shri Ram Chander Jangra (2020-26) (2020-2026)","Elected MP","Construction of street from Rohtak road to House of Amarjeet son of Banwari","26-Mar-2026","29-Jul-2026","270000","Sanction"
"24074","Normal/Others","WS/MP18411/2026-2027/276408-Construction of rooms and halls in school and colleges","Rajasthan","Khairthal-Tijara(DISTRICT COLLECTOR KHAIRTHAL TIJARA_IDA)","Shri Ravneet Singh (2024-26) (2024-2026)","Elected MP","Construction work of 01 room in Government Primary School, Alawalpur, Gram Panchayat- Gothra","30-Mar-2026","08-Jul-2026","1000000","Sanction"
"24075","Normal/Others","WS/MP236/2026-2027/276490-Lighting of public spaces","Rajasthan","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","Installation of High Mast light in graveyard premises (Khasra No. 410) at village Desuri, Gram Panchayat Desuri, Panchayat Samiti Desuri, District Pali","28-Mar-2026","25-May-2026","300000","Work partially Completed"
"24076","Normal/Others","WS/MP061/2026-2027/276572-Purchase of books and periodicals for libraries/digitization of library books","Gujarat","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","Purchase of books for library and digitization of library books with computer at Siddharth Law College Sector 16 Gandhinagar 382016","29-Mar-2026","23-Jul-2026","1000000","Sanction"
"24077","Normal/Others","WS/MP061/2026-2027/276573-Construction of buildings for crèches and anganwadies","Gujarat","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","Smart Anaganwadi at Gangad anganwadi no 4 at post Gangad Ta Bavla Dist Ahmedabad","29-Mar-2026","19-May-2026","494656","Sanction"
"24078","Normal/Others","WS/MP061/2026-2027/276574-Construction of buildings for crèches and anganwadies","Gujarat","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","Smart Anaganwadi at Gangad anganwadi no 6 at post Gangad Ta Bavla Dist Ahmedabad","29-Mar-2026","19-May-2026","494656","Sanction"
"24079","Normal/Others","WS/MP061/2026-2027/276575-Construction of buildings for crèches and anganwadies","Gujarat","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","Smart Anaganwadi at Devdholera anganwadi no 2 at post Devdholera Ta Bavla Dist Ahmedabad","29-Mar-2026","19-May-2026","494656","Sanction"
"24080","Normal/Others","WS/MP061/2026-2027/276576-Construction of buildings for crèches and anganwadies","Gujarat","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","Smart Anaganwadi at Durgi anganwadi no 6 at post Durgi Ta Bavla Dist Ahmedabad","29-Mar-2026","19-May-2026","494656","Sanction"
"24081","Normal/Others","WS/MP069/2026-2027/276634-Providing supply pipelines for drinking water","Gujarat","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","For the work of laying a drinking water pipeline from Rudatal Wala Road towards Chamundanagar.","30-Mar-2026","20-Jun-2026","500000","Sanction"
"24082","Normal/Others","WS/MP069/2026-2027/276635-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Gujarat","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","For the construction of a flood protection wall next to the lake around Bihari Pir Cemetery.","30-Mar-2026","30-May-2026","500000","Sanction"
"24083","Normal/Others","WS/MP18420/2026-2027/276658-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Maharashtra","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Dhairyashil Mohan Patil (2024-26) (2024-2026)","Elected MP","Construction of a protective wall for the drain at Ghote, Tal. Pen, Dist Raigad (ST)","30-Mar-2026","11-Aug-2026","850000","Work partially Completed"
"24084","Normal/Others","WS/MP18420/2026-2027/276659-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Dhairyashil Mohan Patil (2024-26) (2024-2026)","Elected MP","Construction of road within Shahapada Colony of Pen Municipality, Tal.Pen, Dist-Raigad","30-Mar-2026","22-Jun-2026","500000","Work partially Completed"
"24085","Normal/Others","WS/MP232/2026-2027/276664-Construction of community centers and community halls","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of Stage-(Rangmanch) near Khermai Mandir in vailla Jotpur under Gram Panchayat Ghunsor, Tehasil  and District Jabalpur","30-Mar-2026","18-Jun-2026","500000","Vendor Identification"
"24086","Normal/Others","WS/MP232/2026-2027/276669-Development of playground","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of Cement Concrete in Prayer Ground in Government High School in village Kodkya, Tehasil Jirapur, Dist. Rajgarh","30-Mar-2026","06-Apr-2026","249840","Work Completed"
"24087","Normal/Others","WS/MP18420/2026-2027/276682-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Maharashtra","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Dhairyashil Mohan Patil (2024-26) (2024-2026)","Elected MP","Construction of a protective wall near the drain at Mouje Varavane Bouddhwada, Tal. Pen, Dist-Raigad (SC)","30-Mar-2026","22-Jul-2026","1000000","Work partially Completed"
"24088","Normal/Others","WS/MP18420/2026-2027/276685-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shri Dhairyashil Mohan Patil (2024-26) (2024-2026)","Elected MP","Construction of road to Mangrul Bouddhavada, Tal.Pen, Dist-Raigad  (SC)","30-Mar-2026","24-Jun-2026","500000","Work partially Completed"
"24089","Normal/Others","WS/MP232/2026-2027/276697-Construction of community centers and community halls","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of Community building at village Padhana near Devnarayan Mandir, Tehasil Sarangpur, Dist. Rajgarh","30-Mar-2026","18-Apr-2026","149303","Vendor Identification"
"24090","Normal/Others","WS/MP232/2026-2027/276699-Construction of night shelters for homeless","Madhya Pradesh","Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","Construction of Night Shelter (Renbasera) in village Pamakhedi near Shri Ram Mandir, Tehasil Punasa Dist. East Nimar (Khandwa)","30-Mar-2026","10-Apr-2026","200000","Vendor Identification"
